time,open,high,low,close,volume
2021-05-01 05:00:00,272.41,274.44,271.62,273.16,26312.80315
2021-05-01 06:00:00,273.18,273.18,270.99,272.13,35607.60295
2021-05-01 07:00:00,272.13,272.92,270.0,270.7,25731.50941
2021-05-01 08:00:00,270.73,272.42,268.12,268.12,41054.58936
2021-05-01 09:00:00,268.12,270.0,265.9,268.09,43502.31054
2021-05-01 10:00:00,268.1,269.76,266.97,269.0,24007.11343
2021-05-01 11:00:00,269.01,273.0,269.01,272.2,32756.28012
2021-05-01 12:00:00,272.26,272.87,270.41,270.82,23006.80028
2021-05-01 13:00:00,270.87,272.7,269.4,270.06,24344.41945
2021-05-01 14:00:00,270.1,270.81,267.8,268.37,26134.84038
2021-05-01 15:00:00,268.34,269.78,266.97,268.91,27538.48541
2021-05-01 16:00:00,268.9,270.95,267.58,270.37,28734.60355
2021-05-01 17:00:00,270.38,272.33,269.5,269.92,26417.26612
2021-05-01 18:00:00,269.92,272.87,269.31,272.78,21698.69702
2021-05-01 19:00:00,272.76,274.03,272.1,273.45,29841.0
2021-05-01 20:00:00,273.45,273.65,272.25,272.96,20123.58605
2021-05-01 21:00:00,272.91,273.12,270.06,270.33,19468.71159
2021-05-01 22:00:00,270.31,274.16,269.74,274.01,29579.51013
2021-05-01 23:00:00,274.01,278.58,273.67,276.78,57922.7124
2021-05-02 00:00:00,276.77,277.47,273.0,273.56,44576.02794
2021-05-02 01:00:00,273.54,274.55,272.56,273.95,23632.75119
2021-05-02 02:00:00,274.0,276.8,273.96,274.61,26114.24627
2021-05-02 03:00:00,274.65,275.1,266.71,267.57,56031.41333
2021-05-02 04:00:00,267.58,271.46,265.0,271.0,48562.9476
2021-05-02 05:00:00,270.93,272.2,269.6,271.24,20970.04657
2021-05-02 06:00:00,271.29,273.32,270.19,271.49,25303.34732
2021-05-02 07:00:00,271.46,271.69,267.49,268.74,28359.68738
2021-05-02 08:00:00,268.8,269.66,265.79,267.46,37428.70257
2021-05-02 09:00:00,267.53,268.18,264.7,268.01,37399.66088
2021-05-02 10:00:00,268.08,271.21,267.37,270.81,33260.14725
2021-05-02 11:00:00,270.77,272.3,269.27,272.1,31821.58536
2021-05-02 12:00:00,272.05,272.7,270.09,270.99,22067.66166
2021-05-02 13:00:00,271.1,271.58,268.27,269.14,25954.90266
2021-05-02 14:00:00,269.15,270.44,268.41,269.31,24177.95134
2021-05-02 15:00:00,269.31,269.58,267.49,268.3,26652.92034
2021-05-02 16:00:00,268.27,270.58,266.94,268.85,22365.12486
2021-05-02 17:00:00,268.85,270.53,268.36,270.26,15917.40945
2021-05-02 18:00:00,270.24,271.15,269.45,270.65,15197.9144
2021-05-02 19:00:00,270.7,271.84,269.65,271.21,14075.46627
2021-05-02 20:00:00,271.26,272.21,269.36,271.01,18930.87956
2021-05-02 21:00:00,271.07,271.65,268.1,268.7,16373.62775
2021-05-02 22:00:00,268.72,270.21,267.0,267.84,26880.85179
2021-05-02 23:00:00,267.83,269.43,267.49,268.88,14373.94054
2021-05-03 00:00:00,268.83,273.37,268.44,272.46,42043.5335
2021-05-03 01:00:00,272.48,274.57,271.66,274.0,44750.87144
2021-05-03 02:00:00,274.05,274.62,272.86,273.26,23862.39866
2021-05-03 03:00:00,273.28,274.29,272.52,273.16,22742.37488
2021-05-03 04:00:00,273.15,274.19,272.05,272.66,22472.24957
2021-05-03 05:00:00,272.64,274.74,272.3,273.82,23451.37293
2021-05-03 06:00:00,273.81,277.51,273.81,275.9,47481.94611
2021-05-03 07:00:00,275.9,280.03,275.27,279.04,47218.45009
2021-05-03 08:00:00,279.1,282.08,278.06,279.8,62332.27018
2021-05-03 09:00:00,279.8,280.19,276.32,278.31,49311.31288
